bandeira,freq_absoluta,freq_relativa,preco_medio,desvio_padrao
BRANCA,121933,23.78,102.61,11.92
SUPERGASBRAS ENERGIA,74831,14.59,105.00,12.04
ULTRAGAZ,71015,13.85,106.96,11.66
NACIONAL GÁS BUTANO,68010,13.26,104.06,11.76
LIQUIGÁS,67734,13.21,106.66,11.32
BAHIANA,26761,5.22,104.80,13.11
COPA ENERGIA,24894,4.85,106.75,13.46
FOGAS,24422,4.76,121.15,12.98
CONSIGAZ,14802,2.89,101.41,9.70
AMAZONGÁS,9078,1.77,120.48,8.57
MINASGAS,5322,1.04,98.82,11.02
NGC DISTRIBUIDORA,3616,0.71,102.22,12.22
SERVGÁS,347,0.07,99.77,12.23
