estado,qtd_meses,qtd_meses_caros,perc_meses_caros,ranking_mais_caro
AC,36,36,100.00,1
AM,36,36,100.00,1
AP,36,36,100.00,1
BA,36,36,100.00,1
MT,36,36,100.00,1
RO,36,36,100.00,1
RR,36,36,100.00,1
SC,36,36,100.00,1
TO,36,36,100.00,1
MS,36,34,94.44,10
PA,36,34,94.44,10
MA,36,28,77.78,12
RS,36,27,75.00,13
RN,36,13,36.11,14
GO,36,10,27.78,15
CE,36,9,25.00,16
PB,36,9,25.00,16
PI,36,5,13.89,18
MG,36,4,11.11,19
PE,36,0,0.00,20
SE,36,0,0.00,20
DF,36,0,0.00,20
ES,36,0,0.00,20
SP,36,0,0.00,20
PR,36,0,0.00,20
RJ,36,0,0.00,20
AL,36,0,0.00,20
